Smiles,pChEMBL Value
CCN1CCc2cc3nc(N)sc3cc2CC1,4.72
C#CC1=CCC(N(CCC)CCC)CC1,4.72
OC(CCn1cc(-c2ccc3ccccc3c2)nn1)CN1CCN(c2cccc(Cl)c2Cl)CC1,4.73
COc1cc2c(cc1OC)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,4.73
O=c1c(-c2ccccc2)c2ccccn2c(=O)n1CCCCN1CCCC(c2c[nH]c3ccccc23)C1,4.75
Cn1c(SCCCN2CCC3(CC2)CCN(c2ccccc2O)CC3)nnc1-c1ccccc1,4.75
COc1ccccc1N1CCN(Cc2cn(-c3ccc(OCCF)cc3)nn2)CC1,4.75
COc1ccc(Br)cc1C1=N[C@@H](CN2CCN(c3ccccc3)CC2)[C@@H](C)O1,4.75
O=C(N[C@H]1CCN(Cc2ccc(F)c(F)c2)C1)c1ccc(-c2cccs2)cc1,4.75
COc1ccc(OC(C)CN2CCN(C(=O)c3ccc(OC)cc3)CC2)cc1,4.75
COc1ccc(OCCN(C)CCN(C)C(=O)c2ccc(OC)cc2)cc1,4.75
O=C1C[C@@H](CN2CCN(c3ccccc3)CC2)N=C(c2ccccc2)N1,4.75
N#CC(C#N)=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,4.75
CCCN(CCC)C1CCn2nccc2C1,4.75
COc1c(-c2nc(CNC[C@@H]3CCN(Cc4ccccc4)C3)co2)cc(Br)c2ccccc12,4.76
CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,4.76
Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccccc3)C2)n1C,4.77
COc1cc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)ccc1F,4.77
Cc1cc2nc(C)c(CN3CCN(c4ccccn4)CC3)n2c(C)n1,4.77
C#CC1=CCC(N(CCC)CCC)CC1,4.77
Cc1c(C)c2c(c(C)c1O)CCC(C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,4.78
COc1ccc(CN2CCOC(CCc3ccccc3)C2)cc1,4.78
Cc1cccc(NC(=O)CN2CCC(c3ccccc3)CC2)c1,4.78
Oc1ccc(CN2CCO[C@H](CCc3ccccc3)C2)cc1,4.78
Cc1cccc(N2CCN(CCCCNC(=O)c3ccc(-c4ccsc4)cc3)CC2)c1,4.79
COc1cc2c(cc1OC)[C@@H]1Cc3cc(C)cc(C)c3CN1CC2,4.79
CCc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1,4.79
Nc1ccc2oc(=O)c(CN3CCCC3)cc2c1,4.79
CN[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,4.79
CCCC[C@H](NC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,4.8
CC(C)[C@H](NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(N)=O,4.8
Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(-c2ncco2)cc1,4.8
Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3F)C2)nnc1-c1ccc(C(N)=O)cc1,4.8
COc1ccccc1N1CCC2(CCN(CCCSc3nnc(-c4ccc(F)cc4)n3C)CC2)CC1,4.8
Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccc(C(N)=O)c1,4.8
Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cncc(C(N)=O)c1,4.8
Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccnc1,4.8
Cc1nn2c(-c3ccc(F)cc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,4.8
